voyageID,yearIn_num,voyage_duration,reason
AV01424,1886,0,nonpositive
AV01479,1870,0,nonpositive
AV01480,1871,0,nonpositive
AV01481,1872,0,nonpositive
AV01482,1873,0,nonpositive
AV01502,1883,0,nonpositive
AV01506,1886,0,nonpositive
AV01507,1887,0,nonpositive
AV01508,1888,0,nonpositive
AV01509,1889,0,nonpositive
AV01510,1890,0,nonpositive
AV01531,1887,0,nonpositive
AV01534,1893,0,nonpositive
AV01537,1896,0,nonpositive
AV01538,1897,0,nonpositive
AV01619,1845,0,nonpositive
AV01650,1841,0,nonpositive
AV01652,1842,0,nonpositive
AV01654,1844,0,nonpositive
AV01655,1845,0,nonpositive
AV01656,1846,0,nonpositive
AV01657,1846,0,nonpositive
AV01658,1847,0,nonpositive
AV01659,1848,0,nonpositive
AV01660,1849,0,nonpositive
AV01661,1850,0,nonpositive
AV01662,1851,0,nonpositive
AV01663,1887,0,nonpositive
AV01664,1888,0,nonpositive
AV01666,1890,0,nonpositive
AV01667,1891,0,nonpositive
AV01668,1892,0,nonpositive
AV01669,1893,0,nonpositive
AV01685,1885,0,nonpositive
AV01693,1891,0,nonpositive
AV01704,1899,0,nonpositive
AV01725,1822,0,nonpositive
AV01750,1850,0,nonpositive
AV01778,1866,0,nonpositive
AV01785,1855,0,nonpositive
AV01826,1817,0,nonpositive
AV01827,1818,0,nonpositive
AV01888,1858,0,nonpositive
AV01899,1893,0,nonpositive
AV01900,1881,0,nonpositive
AV01901,1882,0,nonpositive
AV01902,1883,0,nonpositive
AV01904,1885,0,nonpositive
AV01905,1886,0,nonpositive
AV01919,1890,0,nonpositive
AV01920,1891,0,nonpositive
AV01921,1892,0,nonpositive
AV01927,1817,0,nonpositive
AV01954,1883,0,nonpositive
AV01955,1884,0,nonpositive
AV01956,1885,0,nonpositive
AV01957,1886,0,nonpositive
AV01966,1893,0,nonpositive
AV01980,1882,0,nonpositive
AV01983,1898,0,nonpositive
AV01984,1899,0,nonpositive
AV02026,1853,0,nonpositive
AV02043,1844,0,nonpositive
AV02058,1818,0,nonpositive
AV02077,1823,0,nonpositive
AV02082,1838,0,nonpositive
AV02091,1857,0,nonpositive
AV02093,1834,0,nonpositive
AV02147,1845,0,nonpositive
AV02148,1846,0,nonpositive
AV02149,1847,0,nonpositive
AV02150,1848,0,nonpositive
AV02152,1849,0,nonpositive
AV02177,1884,0,nonpositive
AV02234,1846,0,nonpositive
AV02247,1851,0,nonpositive
AV02273,1856,0,nonpositive
AV02278,1842,0,nonpositive
AV02333,1862,0,nonpositive
AV02350,1890,0,nonpositive
AV02367,1861,0,nonpositive
AV02373,1871,0,nonpositive
AV02414,1895,0,nonpositive
AV02415,1896,0,nonpositive
AV02416,1897,0,nonpositive
AV02418,1898,0,nonpositive
AV02419,1899,0,nonpositive
AV02467,1858,0,nonpositive
AV02515,1866,0,nonpositive
AV02557,1849,0,nonpositive
AV02558,1850,0,nonpositive
AV02559,1851,0,nonpositive
AV02561,1852,0,nonpositive
AV02562,1853,0,nonpositive
AV02563,1854,0,nonpositive
AV02565,1855,0,nonpositive
AV02566,1856,0,nonpositive
AV02567,1857,0,nonpositive
AV02568,1858,0,nonpositive
AV02569,1859,0,nonpositive
AV02570,1860,0,nonpositive
AV02580,1815,0,nonpositive
AV02583,1816,0,nonpositive
AV02584,1816,0,nonpositive
AV02585,1817,0,nonpositive
AV02616,1849,0,nonpositive
AV02625,1845,0,nonpositive
AV02640,1854,0,nonpositive
AV02646,1856,0,nonpositive
AV02673,1842,0,nonpositive
AV02677,1865,0,nonpositive
AV02680,1868,0,nonpositive
AV02706,1874,0,nonpositive
AV02708,1875,0,nonpositive
AV02710,1877,0,nonpositive
AV02769,1840,0,nonpositive
AV02785,1841,0,nonpositive
AV02797,1839,0,nonpositive
AV02800,1843,0,nonpositive
AV02858,1869,0,nonpositive
AV02863,1845,0,nonpositive
AV02910,1876,0,nonpositive
AV02925,1883,0,nonpositive
AV02927,1884,0,nonpositive
AV02930,1886,0,nonpositive
AV03004,1875,0,nonpositive
AV03005,1876,0,nonpositive
AV03007,1867,0,nonpositive
AV03008,1868,0,nonpositive
AV03009,1869,0,nonpositive
AV03010,1870,0,nonpositive
AV03011,1871,0,nonpositive
AV03012,1872,0,nonpositive
AV03015,1837,0,nonpositive
AV03016,1833,0,nonpositive
AV03044,1838,0,nonpositive
AV03055,1852,0,nonpositive
AV03110,1820,0,nonpositive
AV03111,1839,0,nonpositive
AV03146,1836,0,nonpositive
AV03200,1871,0,nonpositive
AV03256,1855,0,nonpositive
AV03328,1880,0,nonpositive
AV03329,1881,0,nonpositive
AV03330,1882,0,nonpositive
AV03331,1883,0,nonpositive
AV03332,1884,0,nonpositive
AV03333,1885,0,nonpositive
AV03334,1886,0,nonpositive
AV03338,1818,0,nonpositive
AV03343,1840,0,nonpositive
AV03406,1867,0,nonpositive
AV03432,1845,0,nonpositive
AV03433,1846,0,nonpositive
AV03434,1847,0,nonpositive
AV03436,1849,0,nonpositive
AV03437,1850,0,nonpositive
AV03439,1851,0,nonpositive
AV03452,1846,0,nonpositive
AV03466,1861,0,nonpositive
AV03467,1862,0,nonpositive
AV03477,1855,0,nonpositive
AV03480,1837,0,nonpositive
AV03481,1838,0,nonpositive
AV03482,1838,0,nonpositive
AV03503,1828,0,nonpositive
AV03505,1829,0,nonpositive
AV03514,1849,0,nonpositive
AV03518,1883,0,nonpositive
AV03520,1856,0,nonpositive
AV03530,1845,0,nonpositive
AV03531,1867,0,nonpositive
AV03533,1852,0,nonpositive
AV03564,1860,0,nonpositive
AV03626,1885,0,nonpositive
AV03639,1879,0,nonpositive
AV03640,1880,0,nonpositive
AV03641,1881,0,nonpositive
AV03642,1882,0,nonpositive
AV03643,1883,0,nonpositive
AV03644,1884,0,nonpositive
AV03645,1884,0,nonpositive
AV03646,1885,0,nonpositive
AV03647,1886,0,nonpositive
AV03664,1879,0,nonpositive
AV03665,1880,0,nonpositive
